customer_id,customer_fname,customer_lname,customer_revenue,revenue_per_customer
11992,Mary,Williamson,"",0.0
1445,Linda,Ortiz,"",0.0
1500,Carol,Wilcox,"",0.0
1695,Amanda,Marquez,929.95,929.95
1773,Joan,Carr,129.99,129.99
1897,Patrick,Baker,"",0.0
1957,Shirley,Smith,"",0.0
2161,Mary,Mercer,"",0.0
3057,Mary,Smith,1127.89,1127.89
307,Mary,Smith,"",0.0
3167,Janice,Ward,199.92,199.92
3491,Diane,Barrett,"",0.0
3895,Mary,Contreras,859.8900000000001,859.8900000000001
3898,Michael,Hickman,"",0.0
3902,Mary,Smith,"",0.0
3993,Mary,Crawford,839.9,839.9
4262,Mary,Smith,"",0.0
4464,Mary,Johnson,"",0.0
4594,Mary,Caldwell,"",0.0
475,Brittany,Gibbs,1119.89,1119.89
5048,Johnny,Smith,"",0.0
5052,Larry,Meyer,"",0.0
5134,Mary,Smith,"",0.0
5450,John,Harris,"",0.0
574,Randy,Bond,"",0.0
5986,Matthew,Rowe,319.97,319.97
6033,Mary,Pitts,"",0.0
613,Emma,Smith,"",0.0
6348,Mary,Henson,"",0.0
6402,Mary,Frazier,"",0.0
6464,Wayne,Mahoney,"",0.0
6758,John,Chung,799.9300000000001,799.9300000000001
7013,Amber,Smith,"",0.0
7014,Mary,Carey,"",0.0
7093,Mary,Ochoa,"",0.0
718,Alexander,Smith,"",0.0
7316,Marilyn,Wu,"",0.0
7541,Donna,Smith,"",0.0
7544,Barbara,Smith,"",0.0
7574,Mary,Smith,"",0.0
8082,Pamela,Smith,"",0.0
8179,Julia,Terry,"",0.0
8279,Jose,Casey,"",0.0
8502,Mary,Eaton,"",0.0
8701,Linda,Green,"",0.0
8744,Mary,Wells,"",0.0
9043,Henry,Norris,759.8600000000001,759.8600000000001
9109,Mary,Brown,"",0.0
9686,Ruth,Kramer,"",0.0
9911,Mary,Smith,"",0.0
1043,Mary,Smith,919.8799999999999,919.8799999999999
10452,Mary,Smith,"",0.0
10829,Anthony,Smith,919.8100000000001,919.8100000000001
11463,Mary,Smith,"",0.0
11510,Ryan,Smith,399.97,399.97
12024,Mary,Smith,"",0.0
12043,Alexander,Jordan,"",0.0
12386,Ruth,Mccarthy,"",0.0
1425,Christina,Harvey,"",0.0
169,Debra,Mccarthy,"",0.0
1706,Joyce,Anderson,"",0.0
1880,Sarah,Smith,"",0.0
1987,Brenda,Mccarthy,675.84,675.84
205,Ryan,Garcia,"",0.0
2129,William,Charles,129.99,129.99
2402,Mary,Smith,"",0.0
2477,Mary,Patterson,"",0.0
2495,Lauren,Lutz,"",0.0
2644,Zachary,Brown,"",0.0
2789,Howard,Lindsey,"",0.0
2808,Mary,Smith,"",0.0
2915,Sandra,Green,"",0.0
3179,Mary,Compton,819.84,819.84
3241,Willie,Smith,"",0.0
3299,Laura,Smith,"",0.0
334,Kathleen,Oconnor,"",0.0
3553,Mary,Lloyd,"",0.0
3786,Mary,Moody,199.95,199.95
3848,Mary,Smith,"",0.0
3875,Frances,Smith,"",0.0
4417,Arthur,Alvarez,"",0.0
4465,John,Sanchez,"",0.0
4569,Charles,Smith,"",0.0
4672,Mary,Smith,"",0.0
4690,Nicholas,Adams,"",0.0
4719,Mary,Mcintosh,594.95,594.95
4736,Zachary,Collins,"",0.0
4776,Mary,Potter,"",0.0
4782,Mary,Powell,"",0.0
4818,Stephanie,Smith,"",0.0
4980,Mary,Wilson,"",0.0
5071,Andrew,Campos,"",0.0
5085,Janet,Jones,"",0.0
5291,Carolyn,Johnson,659.97,659.97
5434,Maria,Melendez,"",0.0
544,Mary,Smith,"",0.0
5543,Patricia,Perez,"",0.0
577,Mary,Smith,"",0.0
581,Mary,Lara,"",0.0
6217,Roger,Black,"",0.0
6264,Thomas,Irwin,"",0.0
6278,Mary,Brown,"",0.0
6605,Mary,Branch,"",0.0
6687,Julie,Hamilton,"",0.0
6949,Charles,Williamson,"",0.0
7364,Janet,Smith,"",0.0
740,Brandon,Smith,519.9300000000001,519.9300000000001
7402,Joseph,Frye,"",0.0
747,Mary,Dyer,"",0.0
7746,Howard,Smith,"",0.0
7829,Raymond,Smith,"",0.0
7976,Mary,Smith,"",0.0
8053,Mary,Dennis,"",0.0
8183,Ryan,Giles,989.84,989.84
8680,Laura,Sheppard,"",0.0
8691,Mary,Hart,"",0.0
9028,Raymond,Smith,"",0.0
9296,Christian,Wilson,"",0.0
9314,Olivia,Smith,529.96,529.96
9417,Mary,Nguyen,"",0.0
9980,David,Hayes,"",0.0
10260,Betty,Smith,"",0.0
10365,Amy,Smith,"",0.0
10487,Juan,Moyer,"",0.0
10523,Mary,Rose,"",0.0
10856,Mary,Nixon,199.92,199.92
1104,Linda,Morales,"",0.0
11058,Charles,Wright,"",0.0
11578,Joseph,Hall,"",0.0
11592,Mary,Smith,"",0.0
11600,Jean,Finley,"",0.0
11929,Amy,Smith,"",0.0
11965,Emma,Noble,"",0.0
11966,Hannah,Smith,"",0.0
12138,Mary,Smith,"",0.0
12274,Joyce,Smith,"",0.0
1349,John,Wood,"",0.0
1418,Ann,King,"",0.0
1485,Tiffany,Smith,599.97,599.97
1956,Mary,Clay,"",0.0
2200,Evelyn,Wilson,"",0.0
2249,Dorothy,Rivera,"",0.0
2392,Susan,Sanders,"",0.0
2531,Mary,Fitzpatrick,"",0.0
2718,Henry,Porter,"",0.0
272,Mary,Long,"",0.0
2948,Mary,Brown,"",0.0
2964,Eugene,Hamilton,799.87,799.87
2980,Mildred,Raymond,"",0.0
3250,Richard,Smith,"",0.0
3365,William,Crawford,649.97,649.97
3408,Catherine,Ryan,"",0.0
3641,Thomas,Smith,199.99,199.99
3656,Willie,Smith,59.99,59.99
3891,Mary,Bowman,179.99,179.99
4078,Mary,Gallegos,"",0.0
4118,Mary,Barton,"",0.0
4315,Mary,Smith,"",0.0
4333,Janet,Smith,"",0.0
4408,Anna,Smith,299.98,299.98
442,Mary,Smith,119.98,119.98
462,Sean,Skinner,"",0.0
4685,Tyler,Holt,"",0.0
470,Mary,Cannon,500.0,500.0
4934,Richard,Warner,"",0.0
5104,Kevin,Raymond,"",0.0
5321,Robert,Rowe,1069.88,1069.88
5498,Mary,Smith,"",0.0
6209,Mary,Lopez,789.8900000000001,789.8900000000001
6212,Mary,Smith,"",0.0
647,Mary,Rios,"",0.0
6744,Cheryl,Medina,"",0.0
6883,Mary,Smith,"",0.0
6958,Michael,Pham,299.98,299.98
7015,Andrew,Smith,"",0.0
711,Barbara,Mccarthy,"",0.0
7121,Jason,Smith,"",0.0
7353,Mary,Copeland,"",0.0
743,Cynthia,Smith,"",0.0
7539,Jonathan,Burns,"",0.0
7685,Mary,Mcdowell,"",0.0
7689,Mary,Heath,"",0.0
8370,Mary,Smith,"",0.0
8699,Joyce,Pratt,"",0.0
8824,Mary,Smith,"",0.0
9024,Walter,Smith,"",0.0
9067,Harry,Myers,"",0.0
9361,Mary,Giles,"",0.0
9440,Mary,Leonard,"",0.0
9654,Judy,Romero,"",0.0
9656,Sarah,Smith,499.9,499.9
975,Mary,Willis,"",0.0
1008,Mary,Smith,"",0.0
10228,Mark,Rios,"",0.0
10346,Shawn,Smith,"",0.0
10407,William,Clay,"",0.0
10484,Gregory,Carroll,"",0.0
10512,Mary,Brown,"",0.0
10557,Rebecca,Contreras,"",0.0
10563,Mary,Smith,"",0.0
10676,Madison,Jackson,"",0.0
11150,Mary,Jones,"",0.0
11405,Mary,Smith,499.97,499.97
11534,Mary,Kim,"",0.0
11863,James,White,"",0.0
11945,Mary,Smith,"",0.0
12081,Margaret,Smith,"",0.0
12215,Mary,Smith,"",0.0
1305,Mary,Johnson,"",0.0
1435,Mary,Wright,"",0.0
1487,Shawn,Smith,"",0.0
15,Jane,Luna,"",0.0
1686,Mary,Smith,"",0.0
1765,Mary,Smith,"",0.0
2144,Mary,Trevino,559.93,559.93
2199,Cynthia,Smith,"",0.0
232,Gloria,Bean,"",0.0
234,Mary,Giles,"",0.0
2341,Mary,Smith,"",0.0
2605,Catherine,Smith,379.90999999999997,379.90999999999997
2628,Madison,Myers,"",0.0
2720,Michael,Obrien,"",0.0
2729,Kimberly,Smith,"",0.0
282,Zachary,Pugh,359.97,359.97
2953,Donna,Jones,"",0.0
3089,Sean,Bolton,"",0.0
3280,Kathleen,Smith,1259.89,1259.89
3454,Christopher,Bradshaw,"",0.0
3661,Mary,Jones,"",0.0
3819,Mary,Smith,"",0.0
383,Evelyn,Smith,"",0.0
3953,Mary,Smith,"",0.0
4415,Samuel,Mitchell,"",0.0
448,Hannah,Joseph,"",0.0
4789,Kathleen,Richmond,"",0.0
4856,Mary,Smith,"",0.0
5079,Gregory,Cameron,"",0.0
5170,Mary,Smith,"",0.0
5306,Mary,Conley,"",0.0
54,Mary,Olson,"",0.0
5412,Roger,Smith,"",0.0
5855,Daniel,Young,"",0.0
6069,Helen,Smith,"",0.0
6091,Alan,Hunt,"",0.0
6333,Ralph,Smith,"",0.0
6407,Steven,Smith,"",0.0
6612,Mary,Chaney,"",0.0
700,Mary,Cummings,"",0.0
7256,Mary,Cross,"",0.0
7434,Mary,Holloway,459.93,459.93
7953,Mary,Brown,1129.93,1129.93
7980,Jennifer,Ortiz,"",0.0
8483,Mary,Smith,"",0.0
8682,Mary,Quinn,"",0.0
8931,Mary,Smith,"",0.0
8952,Joseph,Brooks,"",0.0
9441,Victoria,Smith,"",0.0
10169,Brittany,Smith,"",0.0
10433,Elizabeth,Ball,"",0.0
10628,Mary,Aguilar,"",0.0
10687,George,Weeks,"",0.0
10891,Mary,Smith,59.99,59.99
11048,Randy,Ball,679.88,679.88
11245,Debra,Washington,"",0.0
11281,Janet,Smith,"",0.0
11376,Charles,Mason,1419.8400000000001,1419.8400000000001
11393,Steven,Wong,"",0.0
11428,Raymond,Santana,"",0.0
11537,Lori,Phelps,"",0.0
1158,Emily,Price,"",0.0
11588,Lawrence,Smith,"",0.0
11749,William,Murphy,"",0.0
1207,Mary,Smith,103.95,103.95
12192,Mary,Carlson,"",0.0
12195,Brenda,Moyer,"",0.0
12296,Anna,Smith,"",0.0
12408,Randy,Rice,"",0.0
12420,Nathan,Adams,"",0.0
1304,Frank,Smith,"",0.0
1377,Sean,Smith,"",0.0
1412,Johnny,Frazier,"",0.0
1496,Frank,Davis,"",0.0
155,Brittany,Juarez,"",0.0
1791,Brian,Smith,"",0.0
1936,Jane,Jennings,"",0.0
2016,Jonathan,Wilson,"",0.0
2415,Mary,Smith,"",0.0
2436,Kevin,Park,"",0.0
2545,Larry,Patel,949.86,949.86
2812,Mark,Harvey,"",0.0
2988,Amy,Torres,"",0.0
3145,Rose,Smith,"",0.0
3570,Mary,Nelson,199.92,199.92
3863,Mary,Walker,"",0.0
3983,Mary,Smith,"",0.0
3996,Mary,Smith,"",0.0
4066,Diana,Cordova,1067.8000000000002,1067.8000000000002
4205,Kevin,Williams,"",0.0
4730,Karen,Smith,"",0.0
483,Mary,Smith,969.97,969.97
5041,Mary,Smith,"",0.0
5096,Mary,Smith,"",0.0
5179,Robert,Smith,"",0.0
5352,Emma,Richards,"",0.0
5377,Crystal,Jones,"",0.0
5497,Katherine,Skinner,"",0.0
5799,Keith,Singleton,"",0.0
5859,Ronald,Wilson,559.95,559.95
5904,Catherine,Peterson,"",0.0
635,Mary,Smith,"",0.0
6423,Dylan,Smith,"",0.0
6609,Betty,Orr,"",0.0
6875,Mary,Mcdowell,"",0.0
6952,Michael,Wise,"",0.0
7791,Andrea,Smith,"",0.0
8089,Evelyn,Smith,"",0.0
8173,Brian,Nguyen,"",0.0
8229,Mary,Mcfarland,"",0.0
8424,Robert,Smith,"",0.0
8432,William,Ellis,899.9200000000001,899.9200000000001
851,Mary,Snyder,"",0.0
8547,Melissa,Cunningham,"",0.0
862,Richard,Smith,689.96,689.96
8662,Paul,Smith,"",0.0
886,Mary,Henderson,"",0.0
8975,Nancy,Mata,1139.8700000000001,1139.8700000000001
9016,Mary,Smith,"",0.0
940,Steven,Smith,"",0.0
9472,Thomas,Jimenez,"",0.0
9618,Rose,Case,"",0.0
10088,Emma,Osborne,"",0.0
10177,Mary,Levine,"",0.0
10203,Anna,Smith,"",0.0
10710,Rebecca,Smith,"",0.0
11237,Zachary,Watkins,"",0.0
11280,James,Snyder,"",0.0
11718,Scott,Smith,"",0.0
12307,Mary,Glover,"",0.0
132,Eric,Smith,"",0.0
154,Emily,May,129.99,129.99
2079,Mary,Hunter,"",0.0
2762,Mary,Zamora,"",0.0
2931,Carl,Smith,"",0.0
3140,Charles,Smith,"",0.0
317,Deborah,Salazar,"",0.0
3490,Mary,Smith,"",0.0
3581,Mary,Pugh,"",0.0
3711,Jordan,Palmer,"",0.0
3740,Mary,Smith,1349.94,1349.94
3781,Richard,Lara,"",0.0
3808,Nancy,Smith,"",0.0
3967,Mary,Nichols,"",0.0
4044,Stephen,Smith,599.97,599.97
4165,Elizabeth,Garcia,"",0.0
4369,Joan,Johnson,"",0.0
4403,Mary,Evans,"",0.0
4437,Mary,Murphy,"",0.0
4564,Mary,Smith,"",0.0
4740,Willie,Wolfe,"",0.0
4884,Mary,Wall,"",0.0
5426,Mary,Smith,"",0.0
5656,Marilyn,Smith,"",0.0
5732,Jacob,Perry,"",0.0
5802,Mary,Smith,"",0.0
5829,Mary,Smith,"",0.0
5965,Richard,Parker,"",0.0
6019,Martha,Chambers,"",0.0
6121,Jack,Mosley,"",0.0
6300,Willie,Russell,"",0.0
6388,Emma,Smith,"",0.0
6460,Mary,Smith,"",0.0
7012,Mary,Allen,"",0.0
714,Mark,Beltran,"",0.0
727,Mary,Smith,"",0.0
7521,Mary,Ortega,"",0.0
7621,Jack,Smith,"",0.0
7625,Frances,Smith,"",0.0
8421,Mary,Smith,989.9000000000001,989.9000000000001
8714,Janice,Smith,"",0.0
9201,Christian,Smith,279.96,279.96
9687,Mary,Mccormick,"",0.0
987,Cheryl,Smith,"",0.0
9951,Mary,Cline,"",0.0
10803,Laura,Carey,929.94,929.94
10814,Carol,Mejia,1209.93,1209.93
10888,Mary,Cline,"",0.0
11021,Brenda,Shaw,"",0.0
11134,Robert,Lopez,1629.8700000000001,1629.8700000000001
11379,Kathleen,Glover,"",0.0
11467,Hannah,Smith,"",0.0
11756,Linda,Long,"",0.0
12242,Thomas,Smith,"",0.0
1236,Virginia,Robertson,"",0.0
1290,Carolyn,Charles,"",0.0
1492,Gerald,Patel,"",0.0
1601,Mark,Padilla,"",0.0
200,Keith,Smith,"",0.0
2012,Ethan,Smith,"",0.0
2020,Mary,Caldwell,"",0.0
2115,Mary,Brady,"",0.0
2138,Larry,Smith,"",0.0
2363,Mary,Frazier,"",0.0
2431,Olivia,Moore,"",0.0
2951,Steven,Maddox,"",0.0
388,Robert,Smith,"",0.0
3884,Mary,Smith,"",0.0
428,Andrew,Smith,"",0.0
4546,Mary,Garcia,"",0.0
4580,Charles,Smith,"",0.0
495,Marilyn,Smith,1209.8600000000001,1209.8600000000001
5059,Deborah,Smith,"",0.0
5101,Mary,Ball,"",0.0
521,James,Vaughn,"",0.0
5458,Harold,Smith,219.95000000000002,219.95000000000002
5546,Jeremy,Smith,"",0.0
6059,Mary,Diaz,"",0.0
6104,Roger,Cordova,329.98,329.98
6147,Danielle,Smith,"",0.0
6245,Margaret,Taylor,"",0.0
625,Terry,Smith,"",0.0
6527,Andrea,Woods,"",0.0
6632,Jessica,Smith,"",0.0
6721,Mary,Poole,729.89,729.89
6991,Mary,Smith,"",0.0
7101,Mary,Smith,"",0.0
7335,Robert,Smith,"",0.0
8286,Jacqueline,Butler,"",0.0
8758,Mary,Shelton,479.94000000000005,479.94000000000005
8876,Timothy,Smith,1639.88,1639.88
8977,Mary,Rivera,"",0.0
9139,Mary,Galvan,179.97,179.97
9380,Ryan,Carson,"",0.0
9456,Mary,Strickland,"",0.0
9477,Lawrence,Smith,"",0.0
9560,Mary,Oneill,"",0.0
9680,Robert,Smith,319.97,319.97
101,Mary,Briggs,"",0.0
10212,Mary,Wright,"",0.0
1041,Karen,Coleman,"",0.0
10782,Mary,Hernandez,"",0.0
1093,Julia,Bowers,"",0.0
10975,Martha,Bolton,"",0.0
11,Mary,Huffman,"",0.0
11306,Gerald,Beasley,859.84,859.84
11604,Mary,Santana,"",0.0
11738,Samuel,Bryan,"",0.0
11798,Ralph,Mitchell,"",0.0
1192,Edward,Mccann,"",0.0
12144,Mary,Gallegos,819.9200000000001,819.9200000000001
12211,David,Chambers,"",0.0
12293,Mary,Smith,"",0.0
1235,Mary,Smith,"",0.0
1259,John,Smith,250.0,250.0
1518,Jessica,Smith,299.99,299.99
1539,Sarah,Chase,"",0.0
1624,Walter,Huerta,"",0.0
1793,Mary,Burke,"",0.0
1958,Mary,Ward,"",0.0
2354,David,Flores,"",0.0
2683,Mary,Gallegos,"",0.0
2714,Albert,Mayer,"",0.0
3521,Joyce,Callahan,"",0.0
3578,Christian,Cameron,"",0.0
3584,Mary,Washington,"",0.0
3742,Samuel,Bailey,"",0.0
4864,Crystal,Leon,"",0.0
5045,Nathan,Stevens,"",0.0
5076,Mary,Jackson,"",0.0
5475,Debra,Smith,"",0.0
5520,Virginia,Smith,"",0.0
5714,Christopher,Meza,"",0.0
5872,Mary,Smith,"",0.0
6094,Gerald,Dorsey,"",0.0
6621,Joan,Hayes,"",0.0
672,Mary,Marsh,"",0.0
6841,Linda,Fisher,"",0.0
7337,Mary,Smith,"",0.0
7508,Theresa,Atkins,"",0.0
7652,Mary,Guerrero,"",0.0
7702,Jack,Smith,"",0.0
7754,Kevin,Horn,"",0.0
7799,Susan,Olson,50.0,50.0
7813,Mary,Jackson,"",0.0
8257,William,Reed,"",0.0
854,Daniel,Smith,"",0.0
8697,Gerald,Smith,"",0.0
8847,Ruth,Brown,"",0.0
8897,Stephen,Blackburn,"",0.0
8906,Mary,Hurst,"",0.0
9258,John,Rodgers,"",0.0
938,Cheryl,Smith,"",0.0
9766,Rachel,Bennett,"",0.0
986,Catherine,Hawkins,2629.9,2629.9
10068,Mary,Gates,"",0.0
10440,Mary,Sellers,"",0.0
10569,Mary,Smith,"",0.0
10630,Karen,Burke,"",0.0
10723,Theresa,Smith,"",0.0
1112,Robert,Weiss,"",0.0
11184,Jennifer,Kelly,349.86,349.86
11384,Marie,Jackson,"",0.0
11539,Mary,Shaffer,"",0.0
12319,Laura,Woodward,"",0.0
12425,Mary,Smith,"",0.0
1318,Mary,Freeman,"",0.0
1856,Rebecca,Bruce,"",0.0
2407,Lisa,Smith,"",0.0
2648,Mary,Montoya,"",0.0
279,Anna,Smith,124.97,124.97
2863,Roger,Smith,829.96,829.96
